sentence,token,position,token_type,analysis_type,pos,dep,full_source_entropy_bits,full_source_surprisal_bits,full_source_topk_entropy_k5_bits,full_source_topk_mass_k5,full_source_entmax_entropy_bits,full_source_entmax_surprisal_bits,full_source_entmax_topk_entropy_k5_bits,full_source_entmax_topk_mass_k5,full_source_entmax_branching_choices,full_bigram_source_entropy_bits,full_bigram_source_surprisal_bits,full_bigram_source_topk_entropy_k5_bits,full_bigram_source_topk_mass_k5,full_bigram_source_entmax_entropy_bits,full_bigram_source_entmax_surprisal_bits,full_bigram_source_entmax_topk_entropy_k5_bits,full_bigram_source_entmax_topk_mass_k5,full_bigram_source_entmax_branching_choices,candidate_idx,target_sentence,full_target_entropy_bits,full_target_surprisal_bits,full_target_topk_entropy_k5_bits,full_target_topk_mass_k5,full_target_entmax_entropy_bits,full_target_entmax_surprisal_bits,full_target_entmax_topk_entropy_k5_bits,full_target_entmax_topk_mass_k5,full_target_entmax_branching_choices,full_bigram_target_entropy_bits,full_bigram_target_surprisal_bits,full_bigram_target_topk_entropy_k5_bits,full_bigram_target_topk_mass_k5,full_bigram_target_entmax_entropy_bits,full_bigram_target_entmax_surprisal_bits,full_bigram_target_entmax_topk_entropy_k5_bits,full_bigram_target_entmax_topk_mass_k5,full_bigram_target_entmax_branching_choices
Do kawiarni weszła kobieta.,pl_PL,0,source,full,SPECIAL,SPECIAL,,-0.0,,1.0,-0.0,-0.0,-0.0,1.0,1.0,11.842439651489258,21.016847987001498,1.9379256963729858,0.2661445736885071,1.1057603359222412,20.0,1.1057603359222412,0.9999998211860657,3.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁Do,1,source,full,ADP,case,8.100811958312988,3.1918196990908303,1.7650947570800781,0.4652250409126282,0.7756348252296448,2.2323996634582888,0.7756348252296448,1.0,3.0,11.517664909362793,5.937825862670539,2.2038934230804443,0.25979670882225037,1.775985598564148,20.0,1.7759857177734375,1.0,5.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁ka,2,source,full,NOUN,obl,11.394347190856934,6.1626954530088,2.0694034099578857,0.16263273358345032,1.3019280433654785,12.616608416171417,1.2352161407470703,0.9908154010772705,8.0,2.918369770050049,16.610141960419227,0.1878330111503601,0.855737030506134,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,wia,3,source,full,NOUN,obl,2.924266815185547,0.6033877720396117,1.1027573347091675,0.8937681913375854,0.46253642439842224,0.1487570783818019,0.4625365734100342,1.0000001192092896,2.0,6.777220726013184,10.87943604702764,0.7775514125823975,0.6542800068855286,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,rni,4,source,full,NOUN,obl,1.319791316986084,0.16320483699038246,0.35333922505378723,0.9350084066390991,-0.0,-0.0,-0.0,1.0,1.0,12.105293273925781,11.123349384465532,2.2990450859069824,0.2737126648426056,2.2093496322631836,20.0,2.2093496322631836,0.9999999403953552,5.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁we,5,source,full,VERB,ROOT,5.534063339233398,1.767120205170033,1.7798290252685547,0.7303864359855652,0.9993910789489746,1.0425345332443856,0.9993910789489746,1.0,2.0,8.497647285461426,14.975752419356793,1.299426794052124,0.5309720635414124,0.38775110244750977,20.0,0.38775110244750977,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,szła,6,source,full,VERB,ROOT,6.281786918640137,5.388786943676986,0.8362812399864197,0.6361256837844849,-0.0,20.0,-0.0,1.0,1.0,9.556495666503906,16.1749040864112,1.7824596166610718,0.4700227975845337,0.9015456438064575,20.0,0.9015457630157471,1.0000001192092896,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,▁kobieta,7,source,full,NOUN,nsubj,3.6343023777008057,0.3931088997750529,0.4109928011894226,0.8069043159484863,-0.0,-0.0,-0.0,1.0,1.0,4.85890531539917,11.722619084250654,1.065311312675476,0.7590116262435913,0.16213491559028625,20.0,0.16213491559028625,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,.,8,source,full,NOUN,nsubj,2.6204700469970703,0.1885580784399573,0.08150550723075867,0.8844922780990601,-0.0,-0.0,-0.0,1.0,1.0,3.698091983795166,0.6205990243595702,0.9749833345413208,0.8523535132408142,0.41879770159721375,0.1278076015531177,0.41879770159721375,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,</s>,9,source,full,SPECIAL,SPECIAL,,-0.0,,1.0,-0.0,-0.0,-0.0,1.0,1.0,3.092174530029297,0.26789262493145904,0.27293625473976135,0.8640738725662231,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Do kawiarni weszła kobieta.,</s>,0,target,full,SPECIAL,SPECIAL,,,,,,,,,,,,,,,,,,,0.0,A woman entered the cafe.,2.161618709564209,21.30004868941489,0.005846296902745962,0.9048279523849487,-0.0,20.0,-0.0,1.0,1.0,2.395404100418091,0.17340263712830786,0.09732717275619507,0.8959255814552307,-0.0,-0.0,-0.0,1.0,1.0
