sentence,token,position,token_type,analysis_type,pos,dep,full_source_entropy_bits,full_source_surprisal_bits,full_source_topk_entropy_k5_bits,full_source_topk_mass_k5,full_source_entmax_entropy_bits,full_source_entmax_surprisal_bits,full_source_entmax_topk_entropy_k5_bits,full_source_entmax_topk_mass_k5,full_source_entmax_branching_choices,full_bigram_source_entropy_bits,full_bigram_source_surprisal_bits,full_bigram_source_topk_entropy_k5_bits,full_bigram_source_topk_mass_k5,full_bigram_source_entmax_entropy_bits,full_bigram_source_entmax_surprisal_bits,full_bigram_source_entmax_topk_entropy_k5_bits,full_bigram_source_entmax_topk_mass_k5,full_bigram_source_entmax_branching_choices,candidate_idx,target_sentence,full_target_entropy_bits,full_target_surprisal_bits,full_target_topk_entropy_k5_bits,full_target_topk_mass_k5,full_target_entmax_entropy_bits,full_target_entmax_surprisal_bits,full_target_entmax_topk_entropy_k5_bits,full_target_entmax_topk_mass_k5,full_target_entmax_branching_choices,full_bigram_target_entropy_bits,full_bigram_target_surprisal_bits,full_bigram_target_topk_entropy_k5_bits,full_bigram_target_topk_mass_k5,full_bigram_target_entmax_entropy_bits,full_bigram_target_entmax_surprisal_bits,full_bigram_target_entmax_topk_entropy_k5_bits,full_bigram_target_entmax_topk_mass_k5,full_bigram_target_entmax_branching_choices
Kobieta weszła do kawiarni.,pl_PL,0,source,full,SPECIAL,SPECIAL,,-0.0,,1.0,-0.0,-0.0,-0.0,1.0,1.0,11.776966094970703,21.061402010256174,1.8085970878601074,0.2831367254257202,0.7753803730010986,20.0,0.7753804922103882,1.000000238418579,3.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁Kobiet,1,source,full,NOUN,nsubj,10.219114303588867,3.1466385644060266,2.017983913421631,0.26843804121017456,1.1619219779968262,0.6998805496863463,1.1619219779968262,1.0000001192092896,4.0,11.180344581604004,11.293919181244371,2.173933506011963,0.2954047918319702,1.665338158607483,20.0,1.665338158607483,1.0000001192092896,5.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,a,2,source,full,NOUN,nsubj,2.6250858306884766,0.26464757595114335,0.43102043867111206,0.8956606984138489,-0.0,-0.0,-0.0,1.0,1.0,11.068530082702637,6.198319365145938,2.1832404136657715,0.25957998633384705,1.752745270729065,20.0,1.7527453899383545,0.9999998807907104,4.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁we,3,source,full,VERB,ROOT,6.439048767089844,1.4584764100696772,1.6941208839416504,0.6306052803993225,0.8202972412109375,0.2899091127386273,0.820297360420227,1.0000001192092896,3.0,11.20353889465332,13.964396929683435,1.7962958812713623,0.317352831363678,1.0276422500610352,20.0,1.0276423692703247,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,szła,4,source,full,VERB,ROOT,6.7783074378967285,0.851149522958711,0.8732801675796509,0.6505724191665649,-0.0,-0.0,-0.0,1.0,1.0,12.04600715637207,15.778148737565578,1.4637870788574219,0.2947797179222107,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁do,5,source,full,ADP,case,3.162229299545288,0.516394537297235,0.8619261384010315,0.8872883319854736,0.3484055697917938,0.09753388889481927,0.3484053909778595,0.9999999403953552,2.0,6.21248722076416,2.6712151106743964,1.9274767637252808,0.7215977907180786,1.1026175022125244,2.2971729165107186,1.1026175022125244,1.0,4.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,▁ka,6,source,full,NOUN,obl,4.1084747314453125,0.41544458231348025,0.3573381304740906,0.7858849167823792,-0.0,-0.0,-0.0,1.0,1.0,12.61884880065918,6.142055062375339,1.9261443614959717,0.2420908510684967,1.0511375665664673,20.0,1.0511373281478882,0.9999998211860657,3.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,wia,7,source,full,NOUN,obl,4.574935436248779,0.7383092034932917,1.0512025356292725,0.7990041971206665,0.4425337314605713,0.1389584478370159,0.4425337314605713,1.0,2.0,12.96319580078125,9.646060088631238,2.1521785259246826,0.2750074863433838,1.622180700302124,20.0,1.622180700302124,0.9999997019767761,5.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,rni,8,source,full,NOUN,obl,0.909950852394104,0.09210638342687148,0.21928933262825012,0.9627096652984619,-0.0,-0.0,-0.0,1.0,1.0,12.659743309020996,10.979304170640457,2.085707902908325,0.26891154050827026,1.3352998495101929,20.0,1.3352999687194824,1.0000001192092896,5.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,.,9,source,full,NOUN,obl,2.639235496520996,0.19404608987004315,0.1185678094625473,0.885026752948761,-0.0,-0.0,-0.0,1.0,1.0,4.932003021240234,0.6239628673105683,0.7909997701644897,0.7641572952270508,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,</s>,10,source,full,SPECIAL,SPECIAL,,-0.0,,1.0,-0.0,-0.0,-0.0,1.0,1.0,3.1959738731384277,0.2834330586863874,0.28177526593208313,0.8561781644821167,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Kobieta weszła do kawiarni.,</s>,0,target,full,SPECIAL,SPECIAL,,,,,,,,,,,,,,,,,,,0.0,The woman entered the cafe.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3649115562438965,0.17163453255184383,0.09705424308776855,0.8971344828605652,-0.0,-0.0,-0.0,1.0,1.0
Kobieta weszła do kawiarni.,en_XX,1,target,full,SPECIAL,SPECIAL,,,,,,,,,,,,,,,,,,,0.0,The woman entered the cafe.,4.623788356781006,0.9614357858722067,1.3207330703735352,0.7917258143424988,0.7255234718322754,0.3251868451771489,0.7255234718322754,1.0,2.0,11.776951789855957,25.6518025699948,1.8085942268371582,0.28313782811164856,0.7753757834434509,20.0,0.7753759026527405,1.0000001192092896,3.0
Kobieta weszła do kawiarni.,▁The,2,target,full,DET,det,,,,,,,,,,,,,,,,,,,0.0,The woman entered the cafe.,4.754771709442139,0.6236963912842164,0.8788191676139832,0.763787567615509,-0.0,-0.0,-0.0,1.0,1.0,4.442265510559082,1.5069415414355887,1.4878175258636475,0.8170657157897949,0.9967758655548096,1.0997877668607696,0.9967758655548096,1.0,2.0
Kobieta weszła do kawiarni.,▁woman,3,target,full,NOUN,nsubj,,,,,,,,,,,,,,,,,,,0.0,The woman entered the cafe.,5.023385047912598,1.5500495074962835,1.8590714931488037,0.7612913846969604,1.2228286266326904,0.7260531928947795,1.22282874584198,0.9999999403953552,3.0,8.901463508605957,6.2450499229875955,1.899368405342102,0.4143461585044861,1.055971384048462,20.0,1.055971384048462,1.0,3.0
Kobieta weszła do kawiarni.,▁enter,4,target,full,VERB,ROOT,,,,,,,,,,,,,,,,,,,0.0,The woman entered the cafe.,2.4760968685150146,0.5304948050670543,0.8330516219139099,0.9254704713821411,0.5914620757102966,0.22225527169164935,0.5914620757102966,1.0,2.0,4.72443962097168,1.266417449993305,1.7063096761703491,0.7971980571746826,1.0939977169036865,0.5202006204908552,1.0939977169036865,1.0,3.0
Kobieta weszła do kawiarni.,ed,5,target,full,VERB,ROOT,,,,,,,,,,,,,,,,,,,0.0,The woman entered the cafe.,2.773090124130249,0.3461628066214384,0.5968546271324158,0.8927443623542786,-0.0,-0.0,-0.0,1.0,1.0,4.004465579986572,0.6583537315091736,1.1178834438323975,0.8465386033058167,0.2730857729911804,0.06930281107687457,0.27308565378189087,0.9999998807907104,2.0
Kobieta weszła do kawiarni.,▁the,6,target,full,DET,det,,,,,,,,,,,,,,,,,,,0.0,The woman entered the cafe.,4.350339889526367,1.0662163409534717,1.4920743703842163,0.8196209073066711,0.8429442048072815,0.4560762187625148,0.8429441452026367,0.9999999403953552,2.0,2.7432026863098145,0.27758142267437397,0.42076200246810913,0.8748914003372192,-0.0,-0.0,-0.0,1.0,1.0
